-7;-3;-2;0;9;-4;-2;0;1;
-1;1;-2;5;-1;3;-1;-2;1;
4;-1;-2;-4;-13;-1;0;1;1;
1;-1;2;-1;1;-2;1;-2;1;
-8;-3;-6;0;2;1;0;-1;1;
2;-3;1;3;-3;-6;-5;2;1;
2;-2;-4;-5;-6;-4;1;-2;1;
-6;-1;-3;-13;15;-24;-2;-1;1;
-5;-1;4;8;-12;20;-3;-3;1;
3;0;2;8;-36;2;1;2;1;
-5;-5;-2;-3;4;-11;-6;-4;1;
4;1;2;7;-8;9;0;-3;1;
2;-1;-3;-18;10;-26;-1;2;1;
-21;-5;-7;-4;14;15;2;-4;1;
23;-1;0;-13;-14;4;2;5;1;
-3;1;-1;4;2;-1;-1;-5;1;
5;-1;3;6;7;0;-2;0;1;
-4;1;-1;3;1;-3;-2;-3;1;
-5;1;-1;1;18;-2;-1;0;1;
1;-2;-3;-6;-18;1;-2;-2;1;
-3;0;-1;1;-6;-2;-1;-1;1;
0;-3;-1;2;2;-3;-1;0;1;
-1;0;-1;-4;-2;0;-1;0;1;
2;-1;0;4;5;2;-1;0;1;
-6;-1;-1;6;-3;1;0;-5;1;
6;2;-1;-9;3;-7;-2;1;1;
2;1;0;4;-1;3;1;0;1;
-10;-4;-3;1;-4;1;-3;-3;1;
-3;-2;-2;-5;9;1;2;-1;1;
4;0;0;-6;-6;-2;-1;2;1;
-3;-1;-1;5;-13;-2;0;1;1;
-3;-1;0;-3;-1;3;-1;-3;1;
2;1;1;5;1;-4;-1;-1;1;
2;1;-3;-8;19;-3;0;-2;1;
-6;-2;2;16;-11;8;2;-3;1;
-6;-3;0;3;-16;-8;1;-1;1;
7;-2;-2;-4;4;-4;-4;-1;1;
-3;-1;3;6;0;-5;0;-1;1;
3;1;-4;-27;2;3;-1;-3;1;
-2;0;-2;17;4;3;3;1;1;
-15;-3;-2;3;-10;-3;-3;-1;1;
17;-1;0;2;1;-2;-2;-3;1;
-3;0;-1;-2;2;-5;-1;-1;1;
4;0;-1;-7;2;6;-3;2;1;
0;-1;2;-2;-2;3;2;1;1;
-9;0;-3;-1;-3;-1;-3;-5;1;
-2;-2;0;1;1;-1;0;-1;1;
4;1;0;-4;-1;0;0;0;1;
1;-1;-1;-2;0;-1;-1;1;1;
-2;-1;-2;0;-2;-1;-2;1;1;
-1;-1;0;2;-2;-1;-2;0;1;
0;-1;-1;-2;2;-1;-1;0;1;
